Title,Texte de l'article,Date mise à jour
Book Review: Melissa Albert’s ‘The Bad Ones’ is a gripping story of friendship and the supernatural,"SAN FRANCISCO (AP) — The most stolen books from San Francisco public libraries’ shelves are not the hottest new novels or juicy memoirs, they are books about recovering from addiction. Now, city officials want to provide universal access to free drug recovery books, including Alcoholics Anonymous’ 12-step recovery book.
San Francisco City Supervisor Matt Dorsey on Tuesday introduced legislation to expand a pilot program to distribute addiction recovery books for free at the city’s 28 public libraries. A record 806 people died of a drug overdose in the city last year.
If approved, San Francisco would be the first city in the nation to do so as communities coast to coast confront an unprecedented fentanyl crisis.","Updated 2:24 AM GMT+1, February 21, 2024"
Nonfiction book publishing is dominated by men. A new prize hopes to help change that,"NEW YORK (AP) — International advocacy organization Global Citizen is turning to Gen Z and millennial leaders in its fight to reach the United Nations’ Sustainable Development Goals and end extreme poverty.
Global Citizen announced Tuesday that it would hold its first international edition of its Global Citizen NOW conference in Melbourne, Australia, starting March 4, bringing together more than 300 young leaders with world leaders, including World Bank President Ajay Banga and former United Nations Secretary-General Ban Ki-moon. Celebrities, including Global Citizen ambassadors Hugh Jackman and Charlie Puth, as well as rock band Crowded House, will also be on hand.
“The greatest movements that have shaped the world were started by young people, who saw the possibility of a better future, created new solutions, and held those in power to account,” Global Citizen CEO Hugh Evans told The Associated Press. The organization hopes the attendees, along with the 32 winners of The Global Citizen Young Leaders Award, will be able to develop new actions to address the climate crisis, health financing, food insecurity and inequalities in access for financing for female entrepreneurs.","Updated 9:34 PM GMT+1, February 20, 2024"
Stephen and Evie McGee Colbert collaborate on cookbook ‘Does This Taste Funny”,"NEW YORK (AP) — There are many adjectives one might use to describe the force of nature that is Twyla Tharp. “Shy” is not one.
This includes at curtain calls. At the opening of her current show at New York’s Joyce Theater, her dancers went to escort the 82-year-old choreographer onto the stage for a bow — but she was in more of a rush, bounding out from the wings in her black leathery pants and boots. As if there were no time to waste, an attitude that infuses her dances as well.
Try to get a ticket to “Twyla Tharp Dance,” a two-week engagement, and you’ll likely see “sold out” (it’s worth the try anyway) — a testament to the enduring enthusiasm of dance audiences for both her classics and her continued urge to create. Of the three dances featured, two are new.","Updated 10:56 PM GMT+1, February 20, 2024"
Seven-time NASCAR champ Jimmie Johnson welcomes Creed to Daytona 500 with arms wide open,"SALT LAKE CITY (AP) — Ruby Franke, a Utah mother of six who gave parenting advice to millions via a once-popular a YouTube channel, shared a tearful apology to her children for physically and emotionally abusing them before a judge delivered a sentence that could put her in prison for years, if not decades.
Franke also claimed that she had been “manipulated” by her fellow YouTuber and business partner.
Franke told the judge that she would not argue for a shorter sentence before she stood to thank local police officers, doctors and social workers for being the “angels” who saved her children from her at a time when she says she was under the influence of her business partner, Jodi Hildebrandt. The Utah mental health counselor, who had been hired to work with Franke’s youngest son before going into business with her, also received four consecutive prison sentences of one to 15 years.","Updated 1:22 AM GMT+1, February 21, 2024"
"Music Review: Jennifer Lopez returns to her pop music throne with new album, ‘This Is Me... Now’","KNIGHTSTOWN, Ind. (AP) — The court is the same one where Jimmy Chitwood played. The locker room is exactly as it was when Norman Dale coached. The wall separating the bleachers from the floor is still there.
Things change. The Hoosier Gym doesn’t.
About 35 miles east of Indianapolis is the little town of Knightstown, which most people probably aren’t too familiar with. Basketball fans, however, are likely very aware of the place that brings more people into the town than anything else — a small brick building that the Hickory Huskers of the movie “Hoosiers” called home. It’s still there, still iconic nearly four decades after the film’s release, hosting more than 50,000 visitors and dozens of high school games each year.","Updated 6:22 PM GMT+1, February 20, 2024"
Kansas City mom and prominent Hispanic DJ dies in a mass shooting after Chiefs’ victory parade,"NEW YORK (AP) — A new, inclusive stage production of “Peter Pan” flies out on a U.S. tour this month, telling the classic tale of a boy who refuses to grow up — but without references that, ironically, have aged poorly.
Gone are elements harmful to Native people, in are a few new songs and the setting of Victorian England has been scrapped in favor of modern America with a multicultural cast.
“Part of the why I wanted to do this is that it will be kids’ first experience in the theater, and I want them not only to fall in love with “Peter Pan,” but to fall in love with the theater and to come back,” says director Lonny Price.","Updated 5:35 PM GMT+1, February 20, 2024"
"Q&A: Gloria Gaynor on ‘I Will Survive,’ the move from disco to gospel, her new film and new music","LAS VEGAS (AP) — Trial for a former Los Angeles-area gang leader accused of killing of hip-hop music icon Tupac Shakur in Las Vegas in 1996 has been pushed back several months, a judge said Tuesday.
Clark County District Court Judge Carli Kierny acknowledged that Duane “Keffe D” Davis’ lawyer, Carl Arnold, was new to the case and that prosecutors are still providing evidentiary material to the defense. She reset the trial date from June 3 to Nov. 4.
Davis has been jailed on $750,000 bail since his arrest in September, and he expects to be able to raise the 10% needed to obtain a bond to be released to house arrest, Arnold said. Davis told Kierny that people who are willing to help him post bail don’t want to appear in court for a “source hearing” to show that the money was legally obtained.","Updated 11:03 PM GMT+1, February 20, 2024"
Celebrity birthdays for the week of Feb. 25-March 2,"NEW YORK (AP) — In the mid-1970s, the Eagles were working on a spooky, cryptic new song.
On a lined yellow pad, Don Henley, with input from band co-founder Glenn Frey, jotted thoughts about “a dark desert highway” and “a lovely place” with a luxurious surface and ominous undertones. And something on ice, perhaps caviar or Taittinger — or pink Champagne?
The song, “Hotel California,” became one of rock’s most indelible singles. And nearly a half-century later, those handwritten pages of lyrics-in-the-making have become the center of an unusual criminal trial set to open Wednesday.","Updated 6:09 AM GMT+1, February 20, 2024"
"What to stream this week: ‘Avatar: The Last Airbender,’ ‘Priscilla’ and Dolly Parton’s puppies","WARSAW, Poland (AP) — Once banned by rulers dispatched from Moscow, Poland’s stately polonaise dance that nurtured the country’s spirit even through the dark years of its partition is now honored by UNESCO.
This 18th century dance has been performed from aristocratic balls to village celebrations, inspiring composers such as Johann Sebastian Bach and Frederic Chopin. It still figures prominently in big national occasions, pre-graduation balls and weddings.
On Dec. 5, this living tradition was ensconced into the UNESCO List of Intangible Cultural Heritage as a “form of joint celebration,” which “commemorates important moments in family and community life and symbolizes cooperation, reconciliation and equality.”","Updated 9:50 AM GMT+1, February 20, 2024"
Everything you need to know about this year’s Oscars,"LONDON (AP) — For Londoners, rain is simply a fact of life. But for Burberry, it’s the inspiration for seemingly endless variations of luxurious outerwear, from the heritage brand’s best-selling trench coat to oversized duffels and fur-lined bombers.
The British fashion house showcased its latest designs Monday at London Fashion Week to a soulful Amy Winehouse soundtrack interspersed with a woman’s voice saying “I love London ... the smell of London when it rains.”
“Saltburn” star Barry Keoghan and “The Crown” actress Olivia Coleman were among celebrities who turned up on the VIP front row to watch the show, which drew heavily on the heritage house’s military history and its signature check print.","Updated 11:27 PM GMT+1, February 19, 2024"
"In a first, Oscar-nominated short ‘The Last Repair Shop’ to air on broadcast television","If you are battling a video game goblin who speaks with a Cockney accent, or asking a gruff Scottish blacksmith to forge a virtual sword, you might be hearing the voice of actor Andy Magee.
Except it’s not quite Magee’s voice. It’s a synthetic voice clone generated by artificial intelligence.
As video game worlds get more expansive, some game studios are experimenting with AI tools to give voice to a potentially unlimited number of characters and conversations. It also saves time and money on the “vocal scratch” recordings game developers use as placeholders to test scenes and scripts.","Updated 11:42 AM GMT+1, February 19, 2024"
"Financially struggling Met Opera to present 18 productions next season, the fewest since 1980-81","DAYTONA BEACH, Fla. (AP) — The 3-0-5 took over the Daytona 5-0-0.
Dwayne “The Rock” Johnson, Pitbull and DJ Khaled represented South Florida at the Daytona 500, as the trio of Sunshine State celebrities brought a dose of star power to Sunday’s scheduled race day that was washed out by rain.
Johnson, the wrestler/actor, said he would stay for Monday’s rescheduled race and honor his role as Daytona 500 grand marshal and give the command for drivers to start their engines.","Updated 9:24 PM GMT+1, February 18, 2024"
How did hair become part of school dress codes? Some students see traces of racism,"For as long as schools have policed hairstyles as part of their dress codes, some students have seen the rules as attempts to deny their cultural and religious identities.
Nowhere have school rules on hair been a bigger flashpoint than in Texas, where a trial this week is set to determine whether high school administrators can continue punishing a Black teenager for refusing to cut his hair. The 18-year-old student, Darryl George, who wears his hair in locs tied atop his head, has been kept out of his classroom since the start of the school year.
To school administrators, strict dress codes can be tools for promoting uniformity and discipline. But advocates say the codes disproportionately affect students of color and the punishments disrupt learning. Under pressure, many schools in Texas have removed boys-only hair length rules, while hundreds of districts maintain hair restrictions written into their dress codes.","Updated 4:47 PM GMT+1, February 21, 2024"
2 men are charged with murder in the deadly shooting at Kansas City’s Super Bowl celebration,"KANSAS CITY, Mo. (AP) — Two men charged with murder in last week’s shooting after the Kansas City Chiefs’ Super Bowl parade were strangers who pulled out guns and began firing within seconds of starting an argument, according to court documents released Tuesday.
Missouri prosecutors said at a news conference that Lyndell Mays, of Raytown, Missouri, and Dominic Miller, of Kansas City, Missouri, have been charged with second-degree murder and several weapons counts in the shooting that left one person dead and roughly two dozen others injured.
Both men were shot during the melee, according to probable cause affidavits. Both have been hospitalized since, Jackson County prosecutor Jean Peters Baker said during a news conference.","Updated 12:43 AM GMT+1, February 21, 2024"
YouTube mom Ruby Franke apologizes at sentencing in child abuse case,"SALT LAKE CITY (AP) — Ruby Franke, a Utah mother of six who gave parenting advice to millions via a once-popular a YouTube channel, shared a tearful apology to her children for physically and emotionally abusing them before a judge delivered a sentence that could put her in prison for years, if not decades.
Franke also claimed that she had been “manipulated” by her fellow YouTuber and business partner.
Franke told the judge that she would not argue for a shorter sentence before she stood to thank local police officers, doctors and social workers for being the “angels” who saved her children from her at a time when she says she was under the influence of her business partner, Jodi Hildebrandt. The Utah mental health counselor, who had been hired to work with Franke’s youngest son before going into business with her, also received four consecutive prison sentences of one to 15 years.","Updated 1:22 AM GMT+1, February 21, 2024"
"Divers find body in Texas river of Audrii Cunningham, 11-year-old girl missing since last week","Divers have recovered the body of 11-year-old Audrii Cunningham from a Texas river days after the girl went missing, and authorities are preparing to file a murder charge against a friend of her father who lived on her family’s property, a sheriff said Tuesday afternoon.
Polk County Sheriff Byron Lyons said Audrii’s body was found by divers during a search in the Trinity River in a rural area north of Houston. Her body was located about 10 miles (16 kilometers) from her home near Lake Livingston.
“My heart aches with this news,” Lyons said.","Updated 3:23 AM GMT+1, February 21, 2024"
Churches and nonprofits ensnared in Georgia push to restrict bail funds,"ATLANTA (AP) — When she was behind bars in Georgia, Nia Thomas would use toothpaste to stick handwritten flyers to the wall and spread the word about community bail funds that could pay inmates’ bonds, no strings attached.
“I was posting the phone numbers in everybody’s rooms, everybody’s dorms, every jail I went to,” Thomas said.
But wide-scale initiatives like the one that paid $50,000 for her pretrial release on drug trafficking charges in May 2022 could be significantly restricted, if not criminalized, under a Georgia bill awaiting Republican Gov. Brian Kemp’s signature. Opponents have called the measure an unprecedented attack on bail funds, churches and other community organizations that post inmates’ bonds as they await trial.","Updated 4:57 PM GMT+1, February 21, 2024"
"Texas authorities find body of Audrii Cunningham, 11-year-old girl missing since last week","MADISON, Wis. (AP) — A Republican prosecutor asked the Wisconsin Supreme Court on Tuesday to decide whether a 174-year-old state law bans abortion in the state without waiting for a ruling from a lower appellate court.
The U.S. Supreme Court’s 2022 decision to overturn Roe v. Wade, the landmark 1973 decision legalizing abortion, reactivated an 1849 law that conservatives have interpreted as banning abortion.
Wisconsin Attorney General Josh Kaul, a Democrat, filed a lawsuit arguing that the law is too old to enforce and conflicts with a 1985 law permitting abortions before fetuses can survive outside the womb. Dane County Circuit Judge Diane Schlipper ruled in July that since the law doesn’t use the term “abortion,” it only prohibits attacking a woman in an attempt to kill her unborn child. The ruling emboldened Planned Parenthood to resume offering abortions in the state.","Updated 12:28 AM GMT+1, February 21, 2024"
YouTube mom Ruby Franke apologizes at sentencing in child abuse case,"COLUMBIA, S.C. (AP) — The first federal trial over a hate crime based on gender identity began Tuesday in South Carolina, where a man faces charges that he killed a Black transgender woman and then fled to New York.
The U.S. Department of Justice alleges that in August 2019, Daqua Lameek Ritter lured the woman — who is referred to as Dime Doe in court documents — into driving to a sparsely populated rural county in South Carolina. Ritter then shot her three times in the head with a .22 caliber handgun after they reached an isolated area near his uncle’s home, according to Ben Garner, an assistant U.S. attorney for the district of South Carolina.
In recent years there has been a surge in attacks on the LGBTQ+ community. For decades, transgender women of color have faced disproportionately high rates of violence and hate crimes, according to the Department of Homeland Security. In 2022, the number of gender identity-based hate crimes reported by the FBI increased by 37% compared to the previous year.","Updated 7:53 PM GMT+1, February 20, 2024"
Republican DA asks Wisconsin Supreme Court to decide abortion lawsuit without lower court ruling,"A Connecticut state trooper who killed a 19-year-old man while firing seven gunshots into a stopped car in 2020 is set to stand trial for manslaughter.
Jury selection is scheduled to begin Wednesday in the trial of Trooper Brian North. North has pleaded not guilty to first-degree manslaughter with a firearm in the death of Mubarak Soulemane in West Haven.
Soulemane had stolen a ride-sharing car and led officers on a high-speed chase on Interstate 95 before North opened fire into the driver’s window at close range on the evening of Jan. 15, 2020, according to authorities.","Updated 6:37 AM GMT+1, February 21, 2024"
Abortion rights could complicate Republican Larry Hogan’s Senate bid in deep blue Maryland,"MEXICO CITY (AP) — U.S. Secretary of Homeland Security Alejandro Mayorkas met Saturday with newly elected Guatemalan President Bernardo Arévalo and discussed regional migration, security and the economy in the Central American nation, they said.
The meeting at the Munich Security Conference came days after the Republican-controlled U.S. House of Representatives voted to impeach Mayorkas for the administration’s handling of migrants at the U.S. southern border.
“Guatemala is a key partner of ours in regional economic development, managing hemispheric migration, combatting transnational crime, and much more,” wrote Mayorkas in a post on X, formerly Twitter, on Saturday.","Updated 10:00 PM GMT+1, February 17, 2024"
Abortion rights opponents and supporters seize on report that Trump privately pushes 16-week ban,"BISMARCK, N.D. (AP) — President Joe Biden has approved North Dakota Gov. Doug Burgum’s request for a major disaster declaration related to a Christmastime ice storm that toppled power lines and left thousands of people without power.
Burgum’s office announced the approval Wednesday. The governor had declared a statewide emergency due to the Dec. 25-27 storm. He sought the presidential disaster declaration to make federal aid available to help cover repairs to damaged public infrastructure.
Freezing rain and high winds brought down more than 2,000 power poles and led sections of interstate highways to close. Estimated storm damages totaled over $11.5 million, according to the governor’s office. The declaration affects all 13 counties Burgum requested.","Updated 5:38 PM GMT+1, February 21, 2024"
"Iowa’s abortion providers now have some guidance for the paused 6-week ban, if it is upheld","NEW YORK (AP) — The new book from bestselling author Alice Paul Tapper, daughter of CNN anchor Jake Tapper, was inspired by a near-fatal health emergency.
“Use Your Voice,” with illustrations by Fanny Liem, is a fictionalized take on Alice’s hospitalization in 2021 after she experienced intense stomach pain, chills and vomiting — what turned out to be appendicitis. Doctors misdiagnosed her condition as a viral infection and only gave her an ultrasound, which revealed she had a perforated appendix leaking poisonous bacteria, after Jake Tapper pleaded with the hospital’s administrator.
Penguin Workshop, an imprint of Penguin Young Readers, will release “Use Your Voice” on Aug. 27, the author’s 17th birthday.","Updated 4:04 PM GMT+1, February 21, 2024"
First federal trial for a hate crime based on gender identity starts over trans woman’s killing,"WASHINGTON (AP) — Trying to keep up with customer demand, Batesville Tool & Die began seeking 70 people to hire last year. It wasn’t easy. Attracting factory workers to a community of 7,300 in the Indiana countryside was a tough sell, especially having to compete with big-name manufacturers nearby like Honda and Cummins Engine.
Job seekers were scarce.
“You could count on one hand how many people in the town were unemployed,” said Jody Fledderman, the CEO. “It was just crazy.’’","Updated 1:46 PM GMT+1, February 21, 2024"
GOP candidates elevate anti-transgender messaging as a rallying call to Christian conservatives,"WASHINGTON (AP) — President Joe Biden on Wednesday signed an executive order and created a federal rule aimed at better securing the nation’s ports from potential cyberattacks.
The administration is outlining a set of cybersecurity regulations that port operators must comply with across the country, not unlike standardized safety regulations that seek to prevent injury or damage to people and infrastructure.
“We want to ensure there are similar requirements for cyber, when a cyberattack can cause just as much if not more damage than a storm or another physical threat,” said Anne Neuberger, deputy national security adviser at the White House.","Updated 5:36 PM GMT+1, February 21, 2024"
Zimbabwe’s vice president says the government will block a scholarship for LGBTQ+ people,"The Biden administration is wading into a contentious debate about whether the most powerful artificial intelligence systems should be “open-source” or closed.
The White House said Wednesday it is seeking public comment on the risks and benefits of having an AI system’s key components publicly available for anyone to use and modify. The inquiry is one piece of the broader executive order that President Joe Biden signed in October to manage the fast-evolving technology.
Tech companies are divided on how open they make their AI models, with some emphasizing the dangers of widely accessible AI model components and others stressing that open science is important for researchers and startups. Among the most vocal promoters of an open approach have been Facebook parent Meta Platforms and IBM.","Updated 11:00 AM GMT+1, February 21, 2024"
The Census Bureau is considering how to ask about gender identity. People have their opinions,"HONG KONG (AP) — Asian stocks were mixed Wednesday after technology shares led Wall Street broadly lower on Tuesday, with investors waiting for chipmaker Nvidia’s quarterly earnings report.
The report, which will come out later in the day, will put stock markets in Hong Kong, China and Taiwan on alert as these three regions contributed over 45% of Nvidia’s revenues in the third quarter.
U.S. futures fell while oil prices gained.","Updated 8:06 AM GMT+1, February 21, 2024"
Connecticut trooper who fatally shot man in stopped car set to go on trial,"SEATTLE (AP) — Photographer Matt McDonald had lived on Puget Sound for years, but had never seen a whale, so he was elated when he spotted a giant marine mammal just off Seattle’s waterfront one evening.
The excitement was short-lived. As McDonald tracked the whale in his camera’s viewfinder, a state ferry that dwarfed the animal came into the frame. The next morning he saw on the news that the humpback whale had died in the collision he witnessed.
“I still remember the moment of when they crossed paths and my heart just sinking like, ‘Oh my God, the ferry just ran over the whale,’” he recalled of the 2019 encounter. “I wish there was something I could have done.”","Updated 7:16 AM GMT+1, February 21, 2024"
Jury selection begins for trial of ‘Rust’ armorer in fatal 2021 shooting by Alec Baldwin,"NEW YORK (AP) — A curious criminal case involving handwritten lyrics to the classic rock megahit “Hotel California” and other Eagles favorites is going to trial in New York, with opening statements set for Wednesday.
The three defendants, all well-established in the collectibles world, are accused of scheming to thwart Eagles co-founder Don Henley’s efforts to reclaim the allegedly ill-gotten documents.
The trial concerns more than 80 pages of drafts of the words to songs from the 1976 album “Hotel California,” which is the third-biggest selling album ever in the U.S.","Updated 3:58 PM GMT+1, February 21, 2024"
Three slain Minnesota first responders remembered for their commitment to service,"COLUMBUS, Ohio (AP) — Despite wielding power in both chambers of the state Legislature, Ohio’s Republican lawmakers are far from coasting through this election season as incumbents face challengers from their own party in the midst of a bitter GOP power struggle.
Next month’s primary will likely be used to further wage the infighting that’s been steady in the state House since 2023, when a contentious House speaker race split the lower chamber’s Republicans. Even though GOP lawmakers hold supermajorities in both chambers, the Legislature succeeded in setting a record last year for the lowest number of bills passed since the 1950s.
Democrats are deciding a few contested primaries themselves, but even newly drawn Statehouse maps backed by both parties make it all but impossible for them to gain the majority in 2024.","Updated 5:25 PM GMT+1, February 21, 2024"
Authorities identify woman killed in Indianapolis Waffle House shooting,"A family friend of 11-year-old Audrii Cunningham was in jail Wednesday as prosecutors say they plan to charge him in the girl’s death after her body was found in a river near her rural Texas home.
Polk County Sheriff Byron Lyons said the body of the young girl — who went missing last week — was found Tuesday during a search in the Trinity River in a rural area north of Houston. Lyons said cell phone data was used to help identify places to look and that the local river authority slowed down the outflow of a reservoir to help search teams that were in the water.
Cunninham’s body was found about 10 miles (16 kilometers) from her home near Lake Livingston.","Updated 6:33 AM GMT+1, February 21, 2024"
Mayorkas meets with Guatemalan leader Arévalo following House impeachment over immigration,"NEW YORK (AP) — Occupants of the White House have grumbled over news coverage practically since the place was built. Now it’s Joe Biden’s turn: With a reelection campaign underway, there are signs that those behind the president are starting to more aggressively and publicly challenge how he is portrayed.
Within the past two weeks, an administration aide sent an unusual letter to the White House Correspondents’ Association complaining about coverage of a special counsel’s report on Biden’s handling of classified documents. In addition, the president’s campaign objected to its perception that negative stories about Biden’s age got more attention than remarks by Donald Trump about the NATO alliance.
It’s not quite “enemy of the people” territory. But it is noticeable.","Updated 4:02 PM GMT+1, February 21, 2024"
Biden’s rightward shift on immigration angers advocates. But it’s resonating with many Democrats,"PITTSBURGH (AP) — Federal regulators are about to announce what they believe caused a bridge to collapse in Pittsburgh more than two years ago, sending vehicles plummeting into a ravine and injuring several people.
The National Transportation Safety Board is expected to vote Wednesday on the results of its investigation into the Jan. 28, 2022, collapse of the Forbes Avenue bridge over Fern Hollow Creek, as well as recommendations about how to prevent something similar from happening again.
In May, NTSB investigators said drainage problems on the steel bridge led to the deterioration of the structure’s metal legs and that necessary maintenance to clear debris, dirt and leaves had not occurred.","Updated 6:13 AM GMT+1, February 21, 2024"
Judge expresses skepticism at Texas law that lets police arrest migrants for illegal entry,"NEW YORK (AP) — Emily Hollenbeck lived with a deep, recurring depression she likened to a black hole, where gravity felt so strong and her limbs so heavy she could barely move. She knew the illness could kill her. Both of her parents had taken their lives.
She was willing to try something extreme: Having electrodes implanted in her brain as part of an experimental therapy.
Researchers say the treatment —- called deep brain stimulation, or DBS — could eventually help many of the nearly 3 million Americans like her with depression that resists other treatments. It’s approved for conditions such as Parkinson’s disease and epilepsy, and many doctors and patients hope it will become more widely available for depression soon.","Updated 2:34 PM GMT+1, February 21, 2024"
"Democrats embrace tougher border enforcement, seeing Trump’s demolition of deal as a ‘gift’","WASHINGTON (AP) — With election season already underway, some state election officials are expressing frustration that Congress has yet to allocate federal money they have come to rely on to help cover the costs of securing their systems from attacks, updating equipment and training staff.
Election officials face a long list of challenges this year, including potential cyberattacks waged by foreign governments, criminal ransomware gangs attacking computer systems and the persistence of election misinformation that has led to harassment of election officials and undermined public confidence.
Michigan Secretary of State Jocelyn Benson said it was “demoralizing and disappointing” that the federal government hasn’t committed to investing in this year’s presidential election.","Updated 5:00 PM GMT+1, February 21, 2024"
Presidential disaster declaration approved for North Dakota Christmastime ice storm,"FORT LAUDERDALE, Fla. (AP) — A young girl was buried in sand and died Tuesday when a deep hole she was digging with a little boy collapsed on them both at a south Florida beach, authorities said.
Emergency crews responding around 3 p.m. to Lauderdale-by-the-Sea found the boy, who is about 8 years old, buried up his chest in sand, said Sandra King, a spokesperson for Pompano Beach Fire Rescue.
The girl, about 7 years old, was completely buried underneath the boy, King told the South Florida Sun-Sentinel.","Updated 1:40 PM GMT+1, February 21, 2024"
Alice Paul Tapper to publish picture book inspired by medical misdiagnosis,"FLINT, Mich. (AP) — A Michigan man was charged Tuesday under the state’s new law requiring safe storage of guns after his 2-year-old daughter shot herself in the head with his revolver the day after the law took effect.
The 44-year-old Flint man became the first person to be charged with violating the law that took effect on Feb. 13, Genesee County Prosecutor David Leyton said. The girl is hospitalized in critical condition.
This law “went into effect one week ago today,” Leyton said at a news conference announcing charges against the man. “This incident occurred the very next day.”","Updated 4:34 AM GMT+1, February 21, 2024"
American companies are investing in robots to do the work they can’t find people to do,"Streaming service FuboTV has filed an antitrust lawsuit against ESPN, Fox, Warner Bros. Discovery and Hulu, which are planning to launch a sports-streaming venture in the fall.
The lawsuit has been filed in the Southern District of New York. FuboTV, which focuses primarily on live sports, is seeking a jury trial.
The Wall Street Journal was the first to report on the lawsuit.","Updated 2:39 AM GMT+1, February 21, 2024"
"Biden is boosting cybersecurity at US ports, where online attacks can be more ravaging than storms","MEREDITH, N.H. (AP) — As temperatures plunged on Mount Washington and ferocious winds made it near impossible to see, hiker Cole Matthes began to drift away from the trail. Then he hit a patch of snow-covered ice and slid hundreds of feet down a ravine.
His fall Saturday sparked a rescue mission that would last 11 hours, utilize the mountain’s famed Cog Railway and prompt harsh criticism from rescuers, who said the hiker made “numerous poor decisions” in preparing for the hike and then deciding to push on.
Both Matthes and the rescuers agree that without help, he would have died within hours.","Updated 4:29 PM GMT+1, February 21, 2024"
White House wades into debate on ‘open’ versus ‘closed’ artificial intelligence systems,"SANTA BARBARA, Calif. (AP) — A judge has declared that Kevin Costner and his wife of nearly two decades, Christine Baumgartner, are now legally divorced, according to court records filed Tuesday.
The couple’s marriage ended, and both became single, on Friday, nine months after she filed for divorce, a judgment entered in Santa Barbara County court showed.
In the first months after their split, Costner And Baumgartner fought in court over child custody and support payments and appeared to be headed for a contentious trial. But they reached a settlement agreement in September that allowed them to avoid it.","Updated 6:13 AM GMT+1, February 21, 2024"
Stock market today: More weakness in technology companies pulls Wall Street lower,"A Colorado man has died after being bitten by his pet Gila monster in what would be a rare death by one of the desert lizards if the creature’s venom turns out to have been the cause.
Christopher Ward, 34, was taken to a hospital shortly after being bitten by one of his two pet Gila monsters on Feb. 12. He was soon placed on life support and died Friday, Lakewood Police Department spokesman John Romero said Tuesday.
Jefferson County coroner’s officials declined Tuesday to comment on the death, including if tests showed yet whether Ward died from the pet’s venom or from some other medical condition.","Updated 3:37 PM GMT+1, February 21, 2024"
"To keep whales safe, Coast Guard launches boat alert system in Seattle","ST. PAUL, Minn. (AP) — An executive at a medical device company has been convicted in Minnesota of insider trading for a scheme involving negotiations for the acquisition of the firm that was valued at $1.6 billion, federal prosecutors said Tuesday.
Doron Tavlin was a vice president for business development at the Minneapolis office of Mazor Robotics in 2018 when he learned that the company could be purchased by Israeli-based Medtronic, Inc., according to a statement from the U.S. Attorney’s Office.
Tavlin illegally told a friend, Afshin Farahan, who bought more than $1 million worth of Mazor stock in the anticipation that the value would increase, prosecutors said. Mazor specializes in robotics for spinal procedures.","Updated 1:56 AM GMT+1, February 21, 2024"
Criminal case over handwritten lyrics to ‘Hotel California’ goes to trial,"BATON ROUGE, La. (AP) — In the moments before Linda Frickey was dragged to her death during a fatal carjacking, the 73-year-old had been sitting in her parked vehicle in New Orleans when she was surrounded by four teenagers.
The teens, who ranged in age from 15 to 17 during the time of the crime in 2022, pepper-sprayed and punched Frickey. As they sped away with her vehicle, Frickey, who was entangled in a seatbelt, was dragged alongside for a block before her arm was severed and she was dislodged — left to die on the street.
Lawmakers have pointed to Frickey’s death as one example of the carjackings, homicides and juvenile lawbreakers that they say are terrorizing Louisiana cities.","Updated 1:51 AM GMT+1, February 21, 2024"
Ohio’s March primary highlights fracturing GOP House and state races riddled with party infighting,"ATLANTA (AP) — A proposal that would require school libraries to notify parents of every book their child checks out was advanced by Georgia senators Tuesday, while a proposal to subject school librarians to criminal charges for distributing material containing obscenity waits in the wings.
The measures are part of a broad and continuing push by Republicans in many states to root out what they see as inappropriate material from schools and libraries, saying books and electronic materials are corrupting children.
Opponents say it’s a campaign of censorship meant to block children’s freedom to learn, while scaring teachers and librarians into silence for fear of losing their jobs or worse.","Updated 2:52 AM GMT+1, February 21, 2024"
"Family friend of Texas girl Audrii Cunningham facing charges in 11-year-old’s death, prosecutor says","SALT LAKE CITY (AP) — A Utah State Board of Education member who is facing pressure from top state leaders to resign after lawmakers say she bullied a student on social media has instead announced that she is running for reelection this fall.
Conservative board member Natalie Cline has faced widespread backlash from both Republicans and Democrats after her social media post questioning the gender of a high school basketball player prompted threats against the girl and her family.
Cline, who was censured by the Legislature last week, responded Monday to a demand from board colleagues that she resign by that day with a Facebook post launching her reelection campaign. The board is no longer allowing Cline to attend meetings or place items on the agenda.","Updated 1:14 AM GMT+1, February 21, 2024"
"It’s an election year, and Biden’s team is signaling a more aggressive posture toward the press","TUSTIN, Calif. (AP) — A man was arrested Tuesday after allegedly setting off a homemade firework near a Southern California shopping center, police said.
Reports of an explosion at The Village at Tustin Legacy prompted authorities to evacuate several businesses, including Chipotle, said Eric Davidson, a spokesperson for Regency Centers, which owns and operates The Village. There were no injuries and there was no damage to the shopping mall.
Tustin Police Lt. Matt Nunley said a 30-year-old man was detained after a witness reported smoke and someone walking away from the scene.","Updated 6:40 AM GMT+1, February 21, 2024"
Agency to announce the suspected cause of a 2022 bridge collapse over a Pittsburgh ravine,"NEW YORK (AP) — Amazon.com Inc. is being added to the Dow Jones Industrial Average, joining Apple, Walt Disney, Walmart and other companies that make up the 30-stock average.
The e-commerce giant will replace drugstore operator Walgreens Boots Alliance in the Dow before the open of trading on Monday, S&P Dow Jones Indices said Tuesday.
The shift was prompted by Walmart’s decision to do a 3-to-1 stock split, which will reduce its stock’s weighting in the index. The Dow is a price-weighted index, so stocks that fetch higher prices are given more weight.","Updated 3:53 AM GMT+1, February 21, 2024"
